Timestamp,RA,Dec,trackingRA,trackingDec
2026-04-24_04:59:54.281139,205.514315,17.93826,205.897021294,18.012014389
2026-04-24_05:00:06.799725,205.567046,17.938,205.93963623,18.012014389
2026-04-24_05:00:07.300474,205.56913,17.937872,205.952181816,18.012014389
2026-04-24_05:00:21.321232,205.627956,17.937834,206.00066185,18.012052536
2026-04-24_05:00:21.821988,205.63003,17.937765,206.012334824,18.012014389
2026-04-24_05:00:36.844193,205.692948,17.937629,206.065807343,18.012014389
2026-04-24_05:00:37.345035,205.695147,17.937715,206.076693535,18.012014389
2026-04-24_05:00:52.868001,205.75939,17.937779,206.132655144,18.012014389
2026-04-24_05:00:53.368762,205.761427,17.937776,206.144356728,18.012014389
2026-04-24_05:01:10.393956,205.832671,17.937736,206.206183434,18.012014389
2026-04-24_05:01:10.894718,205.83471,17.937666,206.217055321,18.012014389
2026-04-24_05:01:28.420685,205.908098,17.937301,206.281399727,18.012014389
2026-04-24_05:01:28.921449,205.910304,17.937185,206.292257309,18.012014389
2026-04-24_05:01:47.448821,205.98816,17.936975,206.360778809,18.012014389
2026-04-24_05:01:47.949633,205.990591,17.937025,206.371650696,18.012014389
2026-04-24_05:02:07.478500,206.072133,17.937272,206.444334984,18.012014389
2026-04-24_05:02:07.979273,206.074073,17.937119,206.456036568,18.012014389
2026-04-24_05:02:29.010472,206.162156,17.936552,206.533741951,18.012014389
2026-04-24_05:02:29.511153,206.164491,17.93698,206.545443535,18.012014389
2026-04-24_05:02:51.043134,206.25434,17.936536,206.62648201,18.012014389
2026-04-24_05:02:51.543877,206.256554,17.936395,206.637353897,18.012014389
2026-04-24_05:03:14.577975,206.351925,17.935965,206.724257469,18.012014389
2026-04-24_05:03:15.078737,206.353943,17.936004,206.735944748,18.012014389
2026-04-24_05:03:39.114330,206.454567,17.935864,206.827039719,18.012014389
2026-04-24_05:03:39.615009,206.456588,17.935688,206.838726997,18.012014389
2026-04-24_05:04:04.652173,206.561257,17.935571,206.933884621,18.0120716095
2026-04-24_05:04:05.153020,206.563095,17.935787,206.944742203,18.0120716095
2026-04-24_05:04:31.191513,206.672286,17.935848,207.044277191,18.012014389
2026-04-24_05:04:31.692212,206.674271,17.935983,207.055978775,18.012014389
2026-04-24_05:04:58.231596,206.785482,17.935979,207.157917023,18.012014389
2026-04-24_05:04:58.732254,206.787349,17.936003,207.169618607,18.012014389
2026-04-24_05:05:26.773856,206.904821,17.936036,207.27657795,18.012014389
2026-04-24_05:05:27.274659,206.90676,17.936051,207.287449837,18.012014389
2026-04-24_05:05:55.816903,207.026364,17.936018,207.398571968,18.012014389
2026-04-24_05:05:56.317675,207.02862,17.935994,207.40942955,18.012014389
2026-04-24_05:06:25.861458,207.151602,17.935813,207.523913383,18.012014389
2026-04-24_05:06:26.362240,207.153678,17.936072,207.534770966,18.012014389
2026-04-24_05:06:57.408185,207.283211,17.936341,207.655920982,18.012014389
2026-04-24_05:06:57.908980,207.285707,17.936217,207.66679287,18.012014389
2026-04-24_05:07:29.956405,207.419586,17.935509,207.791290283,18.012014389
2026-04-24_05:07:30.457184,207.421892,17.935243,207.802991867,18.012014389
2026-04-24_05:08:03.506134,207.559324,17.935921,207.931666374,18.012014389
2026-04-24_05:08:04.006928,207.561773,17.935733,207.942538261,18.012014389
2026-04-24_05:08:37.556604,207.701929,17.935446,208.073716164,18.012014389
2026-04-24_05:08:38.057393,207.704237,17.935369,208.085417747,18.012014389
2026-04-24_05:09:12.608586,207.849207,17.935587,208.220787048,18.012014389
2026-04-24_05:09:13.109358,207.851265,17.935656,208.23164463,18.012014389
2026-04-24_05:09:48.662010,207.999947,17.935444,208.37117672,18.012014389
2026-04-24_05:09:49.162830,208.002082,17.935309,208.382048607,18.012014389
